10/20/2018,ACE,LPA
10/20/2018,ACE,OZL
10/20/2018,ACE,TFN
10/20/2018,FUE,LPA
10/20/2018,FUE,TFN
10/20/2018,GGA,OZL
10/20/2018,GMZ,LPA
10/20/2018,GMZ,TFN
10/20/2018,LPA,ACE
10/20/2018,LPA,FUE
10/20/2018,LPA,GMZ
10/20/2018,LPA,MAD
10/20/2018,LPA,PMI
10/20/2018,LPA,SPC
10/20/2018,LPA,TFN
10/20/2018,LPA,TFS
10/20/2018,LPA,VDE
10/20/2018,LPA,VGO
10/20/2018,MAD,LPA
10/20/2018,MAD,TFN
10/20/2018,OZL,ACE
10/20/2018,OZL,GGA
10/20/2018,OZL,GGA
10/20/2018,PMI,LPA
10/20/2018,PMI,LPA
10/20/2018,PMI,TFN
10/20/2018,SPC,TFN
10/20/2018,TFN,ACE
10/20/2018,TFN,FUE
10/20/2018,TFN,GMZ
10/20/2018,TFN,LPA
10/20/2018,TFN,MAD
10/20/2018,TFN,PMI
10/20/2018,TFN,SPC
10/20/2018,TFN,VDE
10/20/2018,TFN,VGO
10/20/2018,VDE,LPA
10/20/2018,VDE,LPA
10/20/2018,VDE,TFN
